Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,
Bishop,Rob,UT,1,R,N,N,0.537,0.105,,,,,,,,,,
Bridenstine,Jim,OK,1,R,N,N,0.689,-0.157,,,,,,,,,,
Brooks,Mo,AL,5,R,N,N,0.652,-0.417,,,,,,,,,,
Byrne,Bradley,AL,1,R,N,N,0.61,0.25,,,,,,,,,,
Coffman,Mike,CO,6,R,N,N,0.492,-0.213,,,,,,,,,,
Conaway,Michael,TX,11,R,N,N,0.593,0.367,,,,,,,,,,
Cook,Paul,CA,8,R,N,N,0.372,0.208,,,,,,,,,,
Fleming,John,LA,4,R,N,N,0.59,0.022,,,,,,,,,,
Forbes,J. Randy,VA,4,R,N,N,0.407,0.218,,,,,,,,,,
Franks,Trent,AZ,2,R,N,N,0.749,0.087,,,,,,,,,,
Gibson,Chris,NY,20,R,N,N,0.203,-0.455,,,,,,,,,,
Hartzler,Vickey,MO,4,R,N,N,0.478,0.229,,,,,,,,,,
Heck,Joe,NV,3,R,N,N,0.324,0.014,,,,,,,,,,
Hunter,Duncan,CA,52,R,N,N,0.539,0.085,,,,,,,,,,
Jones,Walter,NC,3,R,N,N,0.244,-0.362,,,,,,,,,,
Kline,John,MN,2,R,N,N,0.49,0.154,,,,,,,,,,
Lamborn,Doug,CO,5,R,N,N,0.665,0.257,,,,,,,,,,
LoBiondo,Frank,NJ,2,R,N,N,0.211,-0.224,,,,,,,,,,
McKeon,Howard,CA,25,R,Y,N,0.396,0.208,,,,,,,,,,
Miller,Jeff,FL,1,R,N,N,0.633,0.155,,,,,,,,,,
Noem,Kristi,SD,1,R,N,N,0.398,0.326,,,,,,,,,,
Nugent,Richard,FL,11,R,N,N,0.483,0.077,,,,,,,,,,
Palazzo,Steven,MS,4,R,N,N,0.535,0.45,,,,,,,,,,
Rigell,Scott,VA,2,R,N,N,0.405,-0.084,,,,,,,,,,
Rogers,Mike,AL,3,R,N,N,0.379,0.377,,,,,,,,,,
Runyan,Jon,NJ,3,R,N,N,0.222,0.089,,,,,,,,,,
Scott,Austin,GA,8,R,N,N,0.535,0.363,,,,,,,,,,
Shuster,Bill,PA,9,R,N,N,0.374,0.323,,,,,,,,,,
Thornberry,Mac,TX,13,R,N,N,0.525,0.313,,,,,,,,,,
Turner,Michael,OH,3,R,N,N,0.266,0.254,,,,,,,,,,
Walorski,Jackie,IN,2,R,N,N,0.436,0.315,,,,,,,,,,
Wenstrup,Brad,OH,2,R,N,N,0.527,0.289,,,,,,,,,,
Wilson,Joe ,SC,2,R,N,N,0.53,0.16,,,,,,,,,,
Wittman,Rob,VA,1,R,N,N,0.448,0.02,,,,,,,,,,
Andrews,Robert,NJ,1,D,N,N,-0.297,-0.119,,,,,,,,,,
Barber,Ron,AZ,8,D,N,N,-0.123,0.001,,,,,,,,,,
Bordallo,Madeleine,GU,,D,N,N,,,,,,,,,,,,
Brady,Robert,PA,1,D,N,N,-0.484,0.225,,,,,,,,,,
Carson,Andree,IN,7,D,N,N,-0.435,0.03,,,,,,,,,,
Castro,Joaquin,TX,20,D,N,N,-0.399,-0.124,,,,,,,,,,
Cooper,Jim,TN,5,D,N,N,-0.164,-0.033,,,,,,,,,,
Courtney,Joe,CT,2,D,N,N,-0.337,0.041,,,,,,,,,,
Davis,Susan,CA,49,D,N,N,-0.343,-0.103,,,,,,,,,,
Duckworth,Tammy,IL,8,D,N,N,-0.342,0.062,,,,,,,,,,
Enyart,William,IL,12,D,N,N,-0.251,0.159,,,,,,,,,,
Gabbard,Tulsi,HI,2,D,N,N,-0.274,-0.282,,,,,,,,,,
Gallego,Pete,TX,23,D,N,N,-0.216,0.378,,,,,,,,,,
Garamendi,John,CA,10,D,N,N,-0.314,-0.097,,,,,,,,,,
Hanabusa,Colleen,HI,1,D,N,N,-0.37,0.004,,,,,,,,,,
Johnson,Hank,GA,4,D,N,N,-0.477,-0.052,,,,,,,,,,
Kilmer,Derek,WA,6,D,N,N,-0.316,0.005,,,,,,,,,,
Langevin,James,RI,2,D,N,N,-0.375,0.114,,,,,,,,,,
Larsen,Rick,WA,2,D,N,N,-0.365,0.164,,,,,,,,,,
Loebsack,David,IA,2,D,N,N,-0.276,-0.027,,,,,,,,,,
Maffei,Daniel,NY,24,D,N,N,-0.19,-0.062,,,,,,,,,,
McIntyre,Mike,NC,7,D,N,N,-0.148,0.56,,,,,,,,,,
Peters,Scott,CA,52,D,N,N,-0.193,-0.033,,,,,,,,,,
Sanchez,Loretta,CA,46,D,N,N,-0.367,0.025,,,,,,,,,,
Shea-Porter,Carol,NH,1,D,N,N,-0.315,-0.131,,,,,,,,,,
Smith,Adam,WA,9,D,N,Y,-0.291,-0.166,,,,,,,,,,
Speier,Jackie,CA,14,D,N,N,-0.381,-0.41,,,,,,,,,,
Tsongas,Niki,MA,5,D,N,N,-0.396,-0.199,,,,,,,,,,
Veasey,Marc,TX,33,D,N,N,-0.408,0.355,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
