Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,
Akaka,Daniel,HI,,D,N,N,-0.419,0.273,,,,,,,,,,
Bayh,Evan,IN,,D,N,N,-0.158,-0.142,,,,,,,,,,
Chambliss,Saxby,GA,,R,N,N,0.423,0.205,,,,,,,,,,
Collins,Susan,ME,,R,N,N,0.121,-0.505,,,,,,,,,,
Graham,Lindsey,SC,,R,N,N,0.366,-0.277,,,,,,,,,,
Inhofe,James,OK,,R,N,N,0.552,0.045,,,,,,,,,,
Levin,Carl,MI,,D,Y,N,-0.395,-0.116,,,,,,,,,,
Lieberman,Joseph,CT,,D,N,N,-0.205,-0.615,,,,,,,,,,
McCain,John,AZ,,R,N,Y,0.381,-0.626,,,,,,,,,,
McCaskill,Claire,MO,,D,N,N,-0.143,0.023,,,,,,,,,,
Nelson,Bill,FL,,D,N,N,-0.193,0.337,,,,,,,,,,
Nelson,E. Benjamin,NE,,D,N,N,-0.030,0.588,,,,,,,,,,
Reed,Jack,RI,,D,N,N,-0.362,-0.166,,,,,,,,,,
Sessions,Jeff,AL,,R,N,N,0.549,0.130,,,,,,,,,,
Thune,John,SD,,R,N,N,0.433,0.225,,,,,,,,,,
Webb,Jim,VA,,D,N,N,-0.169,0.023,,,,,,,,,,
Wicker,Roger,MS,,R,N,N,0.377,0.341,,,,,,,,,,
Udall,Mark,CO,,D,N,N,-0.353,0.049,,,,,,,,,,
Hagan,Kay,NC,,D,N,N,-0.202,0.281,,,,,,,,,,
Begich,Mark,AL,,D,N,N,-0.235,0.150,,,,,,,,,,
Bingaman,Jeff,NM,,D,N,N,-0.266,0.045,,,,,,,,,,
Manchin,Joe,WV,,D,N,N,-0.057,0.400,,,,,,,,,,
Coons,Christopher,DE,,D,N,N,-0.236,-0.225,,,,,,,,,,
LeMieux,George,FL,,R,N,N,0.340,0.081,,,,,,,,,,
Brown,Scott,MA,,R,N,N,0.128,-0.294,,,,,,,,,,
Burr,Richard,NC,,R,N,N,0.435,-0.070,,,,,,,,,,
Vitter,David,LA,,R,N,N,0.495,0.323,,,,,,,,,,
Kirk,Mark,IL,,R,N,N,0.274,-0.647,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
