Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,
Akaka,Daniel,HI,,D,N,N,-0.419,0.273,,,,,,,,,,
Bayh,Evan,IN,,D,N,N,-0.158,-0.142,,,,,,,,,,
Byrd,Robert,WV,,D,N,N,-0.309,0.729,,,,,,,,,,
Chambliss,Saxby,GA,,R,N,N,0.423,0.205,,,,,,,,,,
Clinton,Hillary,NY,,D,N,N,-0.367,-0.243,,,,,,,,,,
Collins,Susan,ME,,R,N,N,0.121,-0.505,,,,,,,,,,
Cornyn,John,TX,,R,N,N,0.470,-0.064,,,,,,,,,,
Dayton,Mark,MN,,D,N,N,-0.421,0.209,,,,,,,,,,
Dole,Elizabeth,NC,,R,N,N,0.363,0.124,,,,,,,,,,
Ensign,John,NV,,R,N,N,0.508,-0.464,,,,,,,,,,
Graham,Lindsey,SC,,R,N,N,0.366,-0.277,,,,,,,,,,
Inhofe,James,OK,,R,N,N,0.552,0.045,,,,,,,,,,
Kennedy,Edward,MA,,D,N,N,-0.443,-0.490,,,,,,,,,,
Levin,Carl,MI,,D,N,Y,-0.395,-0.116,,,,,,,,,,
Lieberman,Joseph,CT,,D,N,N,-0.205,-0.615,,,,,,,,,,
McCain,John,AZ,,R,N,N,0.381,-0.626,,,,,,,,,,
Nelson,E. Benjamin,NE,,D,N,N,-0.030,0.588,,,,,,,,,,
Reed,Jack,RI,,D,N,N,-0.362,-0.166,,,,,,,,,,
Roberts,Pat,KS,,R,N,N,0.413,-0.090,,,,,,,,,,
Sessions,Jeff,AL,,R,N,N,0.549,0.130,,,,,,,,,,
Talent,James,MO,,R,N,N,0.364,0.098,,,,,,,,,,
Warner,John,VA,,R,Y,N,0.262,-0.131,,,,,,,,,,
Thune,John,SD,,R,N,N,0.433,0.225,,,,,,,,,,
Nelson,Bill,FL,,D,N,N,-0.193,0.337,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
