Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,
Donnelly,Joe,IN,,D,N,N,-0.119,0.435,,,,,,,,,,
Hirono,Mazie,HI,,D,N,N,-0.515,-0.1,,,,,,,,,,
Blumenthal,Richard,CT,,D,N,N,-0.433,-0.164,,,,,,,,,,
Gillibrand,Kirsten,NY,,D,N,N,-0.454,-0.332,,,,,,,,,,
Hagan,Kay,NC,,D,N,N,-0.202,0.281,,,,,,,,,,
Levin,Carl,MI,,D,Y,N,-0.395,-0.116,,,,,,,,,,
Kaine,Tim,VA,,D,N,N,-0.242,-0.096,,,,,,,,,,
Manchin,Joe,WV,,D,N,N,-0.057,0.400,,,,,,,,,,
McCaskill,Claire,MO,,D,N,N,-0.143,0.023,,,,,,,,,,
Nelson,Bill,FL,,D,N,N,-0.193,0.337,,,,,,,,,,
Reed,Jack,RI,,D,N,N,-0.362,-0.166,,,,,,,,,,
Shaheen,Jeanne,NH,,D,N,N,-0.228,-0.139,,,,,,,,,,
Udall,Mark,CO,,D,N,N,-0.353,0.049,,,,,,,,,,
King,Angus,ME,,D,N,N,-0.169,-0.201,,,,,,,,,,
Ayotte,Kelly,NH,,R,N,N,0.351,-0.612,,,,,,,,,,
Fischer,Deb,NE,,R,N,N,0.462,0.328,,,,,,,,,,
Chambliss,Saxby,GA,,R,N,N,0.423,0.205,,,,,,,,,,
Blunt,Roy,MO,,R,N,N,0.398,0.18,,,,,,,,,,
Lee,Mike,UT,,R,N,N,0.891,-0.454,,,,,,,,,,
Graham,Lindsey,SC,,R,N,N,0.366,-0.277,,,,,,,,,,
Inhofe,James,OK,,R,N,N,0.552,0.045,,,,,,,,,,
McCain,John,AZ,,R,N,N,0.381,-0.626,,,,,,,,,,
Cruz,Ted,TX,,R,N,N,0.781,-0.184,,,,,,,,,,
Sessions,Jeff,AL,,R,N,N,0.549,0.130,,,,,,,,,,
Vitter,David,LA,,R,N,N,0.495,0.323,,,,,,,,,,
Wicker,Roger,MS,,R,N,N,0.377,0.341,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,24-Jan-13,,,,,,,,
,,,,,,,,,,"  CARL LEVIN, Michigan, Chairman ",,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"JAMES M. INHOFE, Oklahoma            JACK REED, Rhode Island",,,,,,,,
,,,,,,,,,,"JOHN McCAIN, Arizona                 BILL NELSON, Florida",,,,,,,,
,,,,,,,,,,"JEFF SESSIONS, Alabama               CLAIRE McCASKILL, Missouri",,,,,,,,
,,,,,,,,,,"SAXBY CHAMBLISS, Georgia             MARK UDALL, Colorado",,,,,,,,
,,,,,,,,,,"ROGER F. WICKER, Mississippi         KAY R. HAGAN, North Carolina",,,,,,,,
,,,,,,,,,,"KELLY AYOTTE, New Hampshire          JOE MANCHIN III, West Virginia",,,,,,,,
,,,,,,,,,,"DEB FISCHER, Nebraska                JEANNE SHAHEEN, New Hampshire",,,,,,,,
,,,,,,,,,,"LINDSEY GRAHAM, South Carolina       KIRSTEN E. GILLIBRAND, New York",,,,,,,,
,,,,,,,,,,"DAVID VITTER, Louisiana              RICHARD BLUMENTHAL, Connecticut",,,,,,,,
,,,,,,,,,,"ROY BLUNT, Missouri                  JOE DONNELLY, Indiana",,,,,,,,
,,,,,,,,,,"MIKE LEE, Utah                       MAZIE K. HIRONO, Hawaii",,,,,,,,
,,,,,,,,,,"TED CRUZ, Texas                      TIM KAINE, Virginia",,,,,,,,
,,,,,,,,,,"                                     ANGUS S. KING, Jr., Maine",,,,,,,,
