Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,
Akaka,Daniel,HI,,D,N,N,-0.419,0.273,,,,,,,,,,
Ayotte,Kelly,NH,,R,N,N,0.351,-0.612,,,,,,,,,,
Begich,Mark,AL,,D,N,N,-0.235,0.150,,,,,,,,,,
Blumenthal,Richard,CT,,D,N,N,-0.433,-0.164,,,,,,,,,,
Brown,Scott,MA,,R,N,N,0.128,-0.294,,,,,,,,,,
Chambliss,Saxby,GA,,R,N,N,0.423,0.205,,,,,,,,,,
Collins,Susan,ME,,R,N,N,0.121,-0.505,,,,,,,,,,
Cornyn,John,TX,,R,N,N,0.47,-0.064,,,,,,,,,,
Gillibrand,Kirsten,NY,,D,N,N,-0.454,-0.332,,,,,,,,,,
Graham,Lindsey,SC,,R,N,N,0.366,-0.277,,,,,,,,,,
Hagan,Kay,NC,,D,N,N,-0.202,0.281,,,,,,,,,,
Inhofe,James,OK,,R,N,N,0.552,0.045,,,,,,,,,,
Levin,Carl,MI,,D,Y,N,-0.395,-0.116,,,,,,,,,,
Lieberman,Joseph,CT,,D,N,N,-0.205,-0.615,,,,,,,,,,
Manchin,Joe,WV,,D,N,N,-0.057,0.400,,,,,,,,,,
McCain,John,AZ,,R,N,Y,0.381,-0.626,,,,,,,,,,
McCaskill,Claire,MO,,D,N,N,-0.143,0.023,,,,,,,,,,
Nelson,E. Benjamin,NE,,D,N,N,-0.030,0.588,,,,,,,,,,
Portman,Rob,OH,,R,N,N,0.371,-0.208,,,,,,,,,,
Reed,Jack,RI,,D,N,N,-0.362,-0.166,,,,,,,,,,
Sessions,Jeff,AL,,R,N,N,0.549,0.130,,,,,,,,,,
Shaheen,Jeanne,NH,,D,N,N,-0.228,-0.139,,,,,,,,,,
Udall,Mark,CO,,D,N,N,-0.353,0.049,,,,,,,,,,
Vitter,David,LA,,R,N,N,0.495,0.323,,,,,,,,,,
Webb,Jim,VA,,D,N,N,-0.169,0.023,,,,,,,,,,
Wicker,Roger,MS,,R,N,N,0.377,0.341,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"                     CARL LEVIN, Michigan, Chairman",,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"                           January 23, 1979*",,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
