Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,
Akaka,Daniel,HI,,D,N,N,-0.419,0.273,,,,,,,,,,
Bayh,Evan,IN,,D,N,N,-0.158,-0.142,,,,,,,,,,
Byrd,Robert,WV,,D,N,N,-0.309,0.729,,,,,,,,,,
Chambliss,Saxby,GA,,R,N,N,0.423,0.205,,,,,,,,,,
Clinton,Hillary Rodham,NY,,D,N,N,-0.367,-0.243,,,,,,,,,,
Collins,Susan,ME,,R,N,N,0.121,-0.505,,,,,,,,,,
Corker,Bob,NC,,R,N,N,0.395,-0.344,,,,,,,,,,
Cornyn,John,TX,,R,N,N,0.470,-0.064,,,,,,,,,,
Dole,Elizabeth,NC,,R,N,N,0.363,0.124,,,,,,,,,,
Ensign,John,NV,,R,N,N,0.508,-0.464,,,,,,,,,,
Graham,Lindsey,SC,,R,N,N,0.366,-0.277,,,,,,,,,,
Inhofe,James,OK,,R,N,N,0.552,0.045,,,,,,,,,,
Kennedy,Edward,MA,,D,N,N,-0.443,-0.490,,,,,,,,,,
Levin,Carl,MI,,D,Y,N,-0.395,-0.116,,,,,,,,,,
Lieberman,Joseph,CT,,D,N,N,-0.205,-0.615,,,,,,,,,,
Martinez,Mel,FL,,R,N,N,0.333,-0.417,,,,,,,,,,
McCain,John,AZ,,R,N,Y,0.381,-0.626,,,,,,,,,,
McCaskill,Claire,MO,,D,N,N,-0.143,0.023,,,,,,,,,,
Nelson,Bill,FL,,D,N,N,-0.193,0.337,,,,,,,,,,
Nelson,E. Benjamin,NE,,D,N,N,-0.030,0.588,,,,,,,,,,
Pryor,Mark,AR,,D,N,N,-0.199,0.463,,,,,,,,,,
Reed,Jack,RI,,D,N,N,-0.362,-0.166,,,,,,,,,,
Sessions,Jeff,AL,,R,N,N,0.549,0.130,,,,,,,,,,
Thune,John,SD,,R,N,N,0.433,0.225,,,,,,,,,,
Warner,John,VA,,R,N,N,0.262,-0.131,,,,,,,,,,
Webb,Jim,VA,,D,N,N,-0.169,0.023,,,,,,,,,,
Wicker,Roger,MS,,R,N,N,0.377,0.341,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
