Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,
Akin,W. Todd,MO,2,R,N,N,0.612,0.235,,,,,,,,,,
Bartlett,Roscoe,MD,6,R,N,N,0.493,-0.091,,,,,,,,,,
Brooks,Mo,AL,5,R,N,N,0.652,-0.417,,,,,,,,,,
Coffman,Mike,CO,6,R,N,N,0.492,-0.213,,,,,,,,,,
Conaway,Michael,TX,11,R,N,N,0.593,0.367,,,,,,,,,,
Fleming,John,LA,4,R,N,N,0.59,0.022,,,,,,,,,,
Forbes,J. Randy,VA,4,R,N,N,0.407,0.218,,,,,,,,,,
Franks,Trent,AZ,2,R,N,N,0.749,0.087,,,,,,,,,,
Gibson,Chris,NY,20,R,N,N,0.203,-0.455,,,,,,,,,,
Griffin,Tim,AR,2,R,N,N,0.41,0.421,,,,,,,,,,
Hartzler,Vickey,MO,4,R,N,N,0.478,0.229,,,,,,,,,,
Heck,Joe,NV,3,R,N,N,0.324,0.014,,,,,,,,,,
Hunter,Duncan,CA,52,R,N,N,0.539,0.085,,,,,,,,,,
Jones,Walter,NC,3,R,N,N,0.244,-0.362,,,,,,,,,,
Kline,John,MN,2,R,N,N,0.49,0.154,,,,,,,,,,
Lamborn,Doug,CO,5,R,N,N,0.665,0.257,,,,,,,,,,
LoBiondo,Frank,NJ,2,R,N,N,0.211,-0.224,,,,,,,,,,
McKeon,Howard,CA,25,R,Y,N,0.396,0.208,,,,,,,,,,
Miller,Jeff,FL,1,R,N,N,0.633,0.155,,,,,,,,,,
Palazzo,Steven,MS,4,R,N,N,0.535,0.45,,,,,,,,,,
Platts,Tood Russell,PA,19,R,N,N,0.252,-0.15,,,,,,,,,,
Rigell,Scott,VA,2,R,N,N,0.405,-0.084,,,,,,,,,,
Roby,Martha,AL,2,R,N,N,0.362,0.658,,,,,,,,,,
Rogers,Mike,AL,3,R,N,N,0.379,0.377,,,,,,,,,,
Rooney,Thomas,FL,16,R,N,N,0.458,0.013,,,,,,,,,,
Runyan,Jon,NJ,3,R,N,N,0.222,0.089,,,,,,,,,,
Schilling,Bobby,IL,17,R,N,N,0.364,0.009,,,,,,,,,,
Scott,Austin,GA,8,R,N,N,0.535,0.363,,,,,,,,,,
Shuster,Bill,PA,9,R,N,N,0.374,0.323,,,,,,,,,,
Thornberry,Mac,TX,13,R,N,N,0.525,0.313,,,,,,,,,,
Turner,Michael,OH,3,R,N,N,0.266,0.254,,,,,,,,,,
West,Allen,FL,22,R,N,N,0.451,0.043,,,,,,,,,,
Wilson,Joe ,SC,2,R,N,N,0.53,0.16,,,,,,,,,,
Wittman,Rob,VA,1,R,N,N,0.448,0.02,,,,,,,,,,
Young,Todd,IN,9,R,N,N,0.439,-0.026,,,,,,,,,,
Andrews,Robert,NJ,1,D,N,N,-0.297,-0.119,,,,,,,,,,
Barber,Ron,AZ,8,D,N,N,-0.123,0.001,,,,,,,,,,
Bordallo,Madeleine,GU,1,D,N,N,,,,,,,,,,,,
Brady,Robert,PA,1,D,N,N,-0.484,0.225,,,,,,,,,,
Castor,Kathy,FL,11,D,N,N,-0.438,0.072,,,,,,,,,,
Cooper,Jim,TN,5,D,N,N,-0.164,-0.033,,,,,,,,,,
Courtney,Joe,CT,2,D,N,N,-0.337,0.041,,,,,,,,,,
Critz,Mark,PA,12,D,N,N,-0.326,0.945,,,,,,,,,,
Davis,Susan,CA,49,D,N,N,-0.343,-0.103,,,,,,,,,,
Garamendi,John,CA,10,D,N,N,-0.314,-0.097,,,,,,,,,,
Giffords,Gabrielle,AZ,8,D,N,N,-0.11,0.076,,,,,,,,,,
Hanabusa,Colleen,HI,1,D,N,N,-0.37,0.004,,,,,,,,,,
Heinrich,Martin,NM,1,D,N,N,-0.334,-0.008,,,,,,,,,,
Hochul,Kathleen,NY,26,D,N,N,-0.239,0.317,,,,,,,,,,
Johnson,Hank,GA,4,D,N,N,-0.477,-0.052,,,,,,,,,,
Kissell,Larry,NC,8,D,N,N,-0.182,0.375,,,,,,,,,,
Langevin,James,RI,2,D,N,N,-0.375,0.114,,,,,,,,,,
Larsen,Rick,WA,2,D,N,N,-0.365,0.164,,,,,,,,,,
Loebsack,David,IA,2,D,N,N,-0.276,-0.027,,,,,,,,,,
McIntyre,Mike,NC,7,D,N,N,-0.148,0.56,,,,,,,,,,
Owens,William,NY,23,D,N,N,-0.182,0.409,,,,,,,,,,
Pingree,Chellie,ME,1,D,N,N,-0.423,-0.367,,,,,,,,,,
Reyes,Silvestre,TX,16,D,N,N,-0.321,0.304,,,,,,,,,,
Ruppersberger,C.A. Dutch,MD,2,D,N,N,-0.299,0.12,,,,,,,,,,
Ryan,Tim,OH,17,D,N,N,-0.402,0.208,,,,,,,,,,
Sanchez,Loretta,CA,46,D,N,N,-0.367,0.025,,,,,,,,,,
Smith,Adam,WA,9,D,N,Y,-0.291,-0.166,,,,,,,,,,
Speier,Jackie,CA,,D,N,N,-0.381,-0.41,,,,,,,,,,
Sutton,Betty,OH,,D,N,N,-0.44,0.165,,,,,,,,,,
Tsongas,Niki,MA,5,D,N,N,-0.396,-0.199,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
