Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,
Donnelly,Joe,IN,,D,N,N,-0.119,0.435,,,,,,,,,,
Hirono,Mazie,HI,,D,N,N,-0.515,-0.1,,,,,,,,,,
Blumenthal,Richard,CT,,D,N,N,-0.433,-0.164,,,,,,,,,,
Gillibrand,Kirsten,NY,,D,N,N,-0.454,-0.332,,,,,,,,,,
Heinrich,Martin,NM,,D,N,N,-0.334,-0.008,,,,,,,,,,
Kaine,Tim,VA,,D,N,N,-0.242,-0.096,,,,,,,,,,
Manchin,Joe,WV,,D,N,N,-0.057,0.400,,,,,,,,,,
McCaskill,Claire,MO,,D,N,N,-0.143,0.023,,,,,,,,,,
Nelson,Bill,FL,,D,N,N,-0.193,0.337,,,,,,,,,,
Reed,Jack,RI,,D,N,Y,-0.362,-0.166,,,,,,,,,,
Shaheen,Jeanne,NH,,D,N,N,-0.228,-0.139,,,,,,,,,,
Cotton,Tom,AR,,R,N,N,0.581,0.187,,,,,,,,,,
King,Angus,ME,,D,N,N,-0.169,-0.201,,,,,,,,,,
Ayotte,Kelly,NH,,R,N,N,0.351,-0.612,,,,,,,,,,
Fischer,Deb,NE,,R,N,N,0.462,0.328,,,,,,,,,,
Rounds,Mike,SD,,R,N,N,0.352,0.079,,,,,,,,,,
Ernst,Joni,IA,,R,N,N,0.538,-0.035,,,,,,,,,,
Lee,Mike,UT,,R,N,N,0.891,-0.454,,,,,,,,,,
Graham,Lindsey,SC,,R,N,N,0.366,-0.277,,,,,,,,,,
Inhofe,James,OK,,R,N,N,0.552,0.045,,,,,,,,,,
McCain,John,AZ,,R,Y,N,0.381,-0.626,,,,,,,,,,
Cruz,Ted,TX,,R,N,N,0.781,-0.184,,,,,,,,,,
Sessions,Jeff,AL,,R,N,N,0.549,0.130,,,,,,,,,,
Tillis,Thom,NC,,R,N,N,0.388,-0.104,,,,,,,,,,
Wicker,Roger,MS,,R,N,N,0.377,0.341,,,,,,,,,,
Sullivan,Dan,AK,,R,N,N,0.482,0.139,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
