Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,
Bishop,Rob,UT,1,R,N,N,0.537,0.105,,,,,,,,,,
Bridenstine,Jim,OK,1,R,N,N,0.689,-0.157,,,,,,,,,,
Brooks,Mo,AL,5,R,N,N,0.652,-0.417,,,,,,,,,,
Byrne,Bradley,AL,1,R,N,N,0.61,0.25,,,,,,,,,,
Coffman,Mike,CO,6,R,N,N,0.492,-0.213,,,,,,,,,,
Conaway,Michael,TX,11,R,N,N,0.593,0.367,,,,,,,,,,
Cook,Paul,CA,8,R,N,N,0.372,0.208,,,,,,,,,,
Fleming,John,LA,4,R,N,N,0.59,0.022,,,,,,,,,,
Forbes,J. Randy,VA,4,R,N,N,0.407,0.218,,,,,,,,,,
Franks,Trent,AZ,2,R,N,N,0.749,0.087,,,,,,,,,,
Gibson,Chris,NY,20,R,N,N,0.203,-0.455,,,,,,,,,,
Graves,Sam,MO,6,R,N,N,0.448,0.164,,,,,,,,,,
Hartzler,Vickey,MO,4,R,N,N,0.478,0.229,,,,,,,,,,
Heck,Joe,NV,3,R,N,N,0.324,0.014,,,,,,,,,,
Hunter,Duncan,CA,52,R,N,N,0.539,0.085,,,,,,,,,,
Jones,Walter,NC,3,R,N,N,0.244,-0.362,,,,,,,,,,
Kline,John,MN,2,R,N,N,0.49,0.154,,,,,,,,,,
Knight,Stephen,CA,25,R,N,N,0.397,0.188,,,,,,,,,,
Lamborn,Doug,CO,5,R,N,N,0.665,0.257,,,,,,,,,,
LoBiondo,Frank,NJ,2,R,N,N,0.211,-0.224,,,,,,,,,,
MacArthur,Thomas,NJ,3,R,N,N,0.206,0.274,,,,,,,,,,
McSally,Martha,AZ,2,R,N,N,0.345,0.027,,,,,,,,,,
Miller,Jeff,FL,1,R,N,N,0.633,0.155,,,,,,,,,,
Nugent,Richard,FL,11,R,N,N,0.483,0.077,,,,,,,,,,
Rogers,Mike,AL,3,R,N,N,0.379,0.377,,,,,,,,,,
Russell,Steve,OK,5,R,N,N,0.473,-0.183,,,,,,,,,,
Scott,Austin,GA,8,R,N,N,0.535,0.363,,,,,,,,,,
Shuster,Bill,PA,9,R,N,N,0.374,0.323,,,,,,,,,,
Stefanik,Elise,NY,21,R,N,N,0.306,-0.114,,,,,,,,,,
Thornberry,Mac,TX,13,R,Y,N,0.525,0.313,,,,,,,,,,
Turner,Michael,OH,3,R,N,N,0.266,0.254,,,,,,,,,,
Walorski,Jackie,IN,2,R,N,N,0.436,0.315,,,,,,,,,,
Wenstrup,Brad,OH,2,R,N,N,0.527,0.289,,,,,,,,,,
Wilson,Joe ,SC,2,R,N,N,0.53,0.16,,,,,,,,,,
Wittman,Rob,VA,1,R,N,N,0.448,0.02,,,,,,,,,,
Zinke,Ryan,MT,,R,N,N,0.442,-0.137,,,,,,,,,,
Aguilar,Pete,CA,31,D,N,N,-0.324,0.14,,,,,,,,,,
Ashford,Brad,NE,2,D,N,N,-0.185,0.441,,,,,,,,,,
Bordallo,Madeleine,GU,,D,N,N,,,,,,,,,,,,
Brady,Robert,PA,1,D,N,N,-0.484,0.225,,,,,,,,,,
Cooper,Jim,TN,5,D,N,N,-0.164,-0.033,,,,,,,,,,
Courtney,Joe,CT,2,D,N,N,-0.337,0.041,,,,,,,,,,
Davis,Susan,CA,49,D,N,N,-0.343,-0.103,,,,,,,,,,
Duckworth,Tammy,IL,8,D,N,N,-0.342,0.062,,,,,,,,,,
Gabbard,Tulsi,HI,2,D,N,N,-0.274,-0.282,,,,,,,,,,
Gallego,Pete,TX,23,D,N,N,-0.216,0.378,,,,,,,,,,
Garamendi,John,CA,10,D,N,N,-0.314,-0.097,,,,,,,,,,
Graham,Gwen,FL,2,D,N,N,-0.233,0.255,,,,,,,,,,
Johnson,Hank,GA,4,D,N,N,-0.477,-0.052,,,,,,,,,,
Langevin,James,RI,2,D,N,N,-0.375,0.114,,,,,,,,,,
Larsen,Rick,WA,2,D,N,N,-0.365,0.164,,,,,,,,,,
Moulton,Seth,MA,6,D,N,N,-0.286,-0.04,,,,,,,,,,
Norcross,Donald,NJ,1,D,N,N,-0.418,0.338,,,,,,,,,,
O'Rourke,Beto,TX,16,D,N,N,-0.304,-0.331,,,,,,,,,,
Peters,Scott,CA,52,D,N,N,-0.193,-0.033,,,,,,,,,,
Sanchez,Loretta,CA,46,D,N,N,-0.367,0.025,,,,,,,,,,
Smith,Adam,WA,9,D,N,Y,-0.291,-0.166,,,,,,,,,,
Speier,Jackie,CA,14,D,N,N,-0.381,-0.41,,,,,,,,,,
Tsongas,Niki,MA,5,D,N,N,-0.396,-0.199,,,,,,,,,,
Veasey,Marc,TX,33,D,N,N,-0.408,0.355,,,,,,,,,,
Walz,Timothy,MN,1,D,N,N,-0.275,0.131,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
