chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
House,85,1957,0.5509997549019607,0.42792792792792794,0.4,0.46078431372549017,0.17117117117117117,-0.029617117,0.1364481981981982,-0.282779167,0.4623291666666667,0.2682205882352941,-0.246941176,0.2679183673469388,-0.263806122,0.275625,0.16625,-0.391558824,0.1610735294117647,-0.140528846,0.8562788461538462
House,86,1959,0.562427739,0.4153498871331828,0.3776223776223776,0.4807692307692308,0.18778280542986425,-0.096961625,0.1895079006772009,-0.29570979,0.4146048951048951,0.26671794871794874,-0.228365385,0.26524161073825503,-0.249872483,0.29814285714285715,0.22942857142857143,-0.385516484,0.17056593406593407,-0.138548077,0.8416730769230769
House,87,1961,0.5396550324675324,0.44766146993318484,0.40293040293040294,0.5170454545454546,0.20489977728285078,-0.065750557,0.16889532293986637,-0.277285714,0.4203076923076923,0.2623693181818182,-0.221079545,0.260887574,-0.239739645,0.29814285714285715,0.22942857142857143,-0.371196319,0.1318159509202454,-0.138127273,0.8478
House,88,1963,0.5480623761123529,0.4198645598194131,0.366412214,0.4972375690607735,0.1986455981941309,-0.068119639,0.13889164785553046,-0.292045802,0.38387786259541984,0.25601657458563537,-0.215729282,0.253,-0.243823529,0.30263636363636365,0.21845454545454546,-0.382944444,0.11346296296296296,-0.14479,0.82195
House,89,1965,0.5465892944265037,0.3918918918918919,0.32558139534883723,0.5314685314685315,0.2905405405405405,-0.124722973,0.14047522522522524,-0.30076412,0.3066976744186046,0.24582517482517482,-0.209405594,0.241117188,-0.265914063,0.28600000000000003,0.2728,-0.376490099,0.061737624,-0.146252525,0.8065151515151515
House,90,1967,0.538546455,0.4214123006833713,0.332,0.5396825396825397,0.46924829157175396,-0.06366287,0.098022779,-0.29552,0.317728,0.24302645502645503,-0.192592593,0.23947560975609755,-0.253280488,0.26632,0.20552,-0.386067485,0.055914110429447855,-0.125873563,0.8082528735632184
House,91,1969,0.5643911155778895,0.4053452115812918,0.3,0.5376884422110553,0.4521158129175947,-0.059625835,0.082412027,-0.309768,0.289128,0.25462311557788947,-0.177281407,0.25253488372093025,-0.235366279,0.2679259259259259,0.19274074074074074,-0.393359281,0.043287425,-0.141578313,0.7837710843373494
House,92,1971,0.5649482625482626,0.4009009009009009,0.3088803088803089,0.5297297297297298,0.4436936936936937,-0.075153153,0.09827027,-0.310548263,0.2947104247104247,0.2544,-0.176745946,0.24817088607594937,-0.240120253,0.29085185185185186,0.19411111111111112,-0.393517442,0.052930232558139535,-0.146517241,0.772712644
House,93,1973,0.5844110694183865,0.3755656108597285,0.2804878048780488,0.49743589743589745,0.4331065759637188,-0.065852941,0.06529638,-0.32346748,0.23640650406504066,0.2609435897435897,-0.149953846,0.2534601226993865,-0.205447853,0.2990625,0.13271875,-0.393709091,0.016078788,-0.180382716,0.6852222222222222
House,94,1975,0.5802687074829932,0.35600907029478457,0.2857142857142857,0.4965986394557823,0.4399092970521542,-0.121866213,0.036269841,-0.315289116,0.14188095238095239,0.2649795918367347,-0.174952381,0.2518235294117647,-0.234327731,0.32089285714285715,0.077392857,-0.373096618,-0.060536232,-0.177747126,0.6234942528735632
House,95,1977,0.5730170068027212,0.36507936507936506,0.3129251700680272,0.46938775510204084,0.4444444444444444,-0.114895692,0.019659864,-0.305901361,0.11871768707482994,0.2671156462585034,-0.178455782,0.25732773109243695,-0.243352941,0.3087142857142857,0.097357143,-0.361140097,-0.071256039,-0.174471264,0.5707241379310345
House,96,1979,0.596071837,0.34615384615384615,0.31316725978647686,0.40372670807453415,0.4230769230769231,-0.084199095,0.004733032,-0.301320285,0.1096832740213523,0.29475155279503107,-0.178440994,0.2840542635658915,-0.237953488,0.337875,0.061468749999999996,-0.356819095,-0.070396985,-0.166634146,0.5467073170731708
House,97,1981,0.6068927125506073,0.34234234234234234,0.3319838056680162,0.35714285714285715,0.4966139954853273,-0.032948198,-0.036585586,-0.300392713,0.092125506,0.3065,-0.198683673,0.29247435897435897,-0.253916667,0.3612,0.016725,-0.364739884,-0.106687861,-0.149959459,0.5569189189189189
House,98,1983,0.6274297948221205,0.31662870159453305,0.3235294117647059,0.30538922155688625,0.4305239179954442,-0.063102506,-0.034767654,-0.301783088,0.07075,0.3256467065868264,-0.206628743,0.3144961832061069,-0.261465649,0.3662222222222222,-0.007083333,-0.366299465,-0.126256684,-0.159847059,0.504164706
House,99,1985,0.6432835335870355,0.3052391799544419,0.31906614785992216,0.2857142857142857,0.097949886,-0.042833713,-0.040113895,-0.309525292,0.081821012,0.33375824175824176,-0.212296703,0.31715942028985505,-0.27807971,0.38581818181818184,-0.005977273,-0.362502793,-0.108178771,-0.187948718,0.5178461538461538
House,100,1987,0.64462024,0.3129251700680272,0.3282442748091603,0.2905027932960894,0.097505669,-0.047664399,-0.044113379,-0.309312977,0.084851145,0.3353072625698324,-0.232877095,0.3138832116788321,-0.295335766,0.4051904761904762,-0.029142857,-0.359686813,-0.093648352,-0.1947125,0.49093749999999997
House,101,1989,0.6526488469601677,0.31910112359550563,0.33584905660377357,0.29444444444444445,0.058426966292134834,-0.049044944,-0.05201573,-0.313037736,0.080992453,0.3396111111111111,-0.247833333,0.3220735294117647,-0.313205882,0.39381818181818184,-0.045772727,-0.359820652,-0.099771739,-0.206765432,0.49161728395061727
House,102,1991,0.6589148148148148,0.31519274376417233,0.337037037,0.2823529411764706,0.05,-0.060721088,-0.039938776,-0.314214815,0.080392593,0.3447,-0.228947059,0.3229763779527559,-0.292543307,0.40886046511627905,-0.041116279,-0.359026178,-0.082685864,-0.205873418,0.47467088607594937
