Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,
Akaka,Daniel,HI,,D,N,N,-0.419,0.273,," (107th Congress, 1st Session)",,,,,,,,
Allard,Wayne,CO,,R,N,N,0.572,-0.121,,,,,,,,,,
Bunning,Jim,KY,,R,N,N,0.521,-0.049,,,,,,,,,,
Byrd,Robert,WV,,D,N,N,-0.309,0.729,,,,,,,,,,
Carnahan,Jean,MO,,D,N,N,-0.239,0.259,,,,,,,,,,
Cleland,Max,GA,,D,N,N,-0.220,0.302,,,,,,,,,,
Collins,Susan,ME,,R,N,N,0.121,-0.505,,,,,,,,,,
Dayton,Mark,MN,,D,N,N,-0.421,0.209,,,,,,,,,,
Hutchinson,Tim,AR,,R,N,N,0.419,0.072,,,,,,,,,,
Inhofe,James,OK,,R,N,N,0.552,0.045,,,,,,,,,,
Kennedy,Edward,MA,,D,N,N,-0.443,-0.490,,,,,,,,,,
Landrieu,Mary,LA,,D,N,N,-0.203,0.444,,,,,,,,,,
Levin,Carl,MI,,D,N,Y,-0.395,-0.116,,,,,,,,,,
Lieberman,Joseph,CT,,D,N,N,-0.205,-0.615,\,,,,,,,,,
McCain,John,AZ,,R,N,N,0.381,-0.626,,,,,,,,,,
Nelson,Bill,FL,,D,N,N,-0.193,0.337,,,,,,,,,,
Nelson,E. Benjamin,NE,,D,N,N,-0.030,0.588,,,,,,,,,,
Reed,Jack,RI,,D,N,N,-0.362,-0.166,,,,,,,,,,
Roberts,Pat,KS,,R,N,N,0.413,-0.090,,,,,,,,,,
Santorum,Rick,PA,,R,N,N,0.338,-0.234,,,,,,,,,,
Sessions,Jeff,AL,,R,N,N,0.549,0.130,,,,,,,,,,
Smith,Bob,NH,,R,N,N,0.623,-0.468,,,,,,,,,,
Thurmond,Strom,SC,,R,N,N,0.391,0.227,,,,,,,,,,
Warner,John,VA,,R,Y,N,0.262,-0.131,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
